051 dc81 2022 03 16 12 41 33
time, latitude, longitude, accuracy, private
292.8,52.020028,4.268668,4.0,P
293.7,52.020027,4.268662,4.0,P
294.8,52.020030,4.268640,4.0,P
295.7,52.020035,4.268620,4.0,P
297.0,52.020041,4.268603,4.0,P
298.0,52.020047,4.268582,4.0,P
299.7,52.020051,4.268550,4.0,P
300.7,52.020058,4.268535,4.0,P
301.7,52.020063,4.268518,4.0,P
302.7,52.020069,4.268507,4.0,P
303.7,52.020073,4.268514,3.0,P
304.7,52.020074,4.268525,3.0,P
305.7,52.020075,4.268536,3.0,P
306.7,52.020074,4.268549,3.0,P
307.7,52.020071,4.268569,3.0,P
308.8,52.020071,4.268585,3.0,P
309.7,52.020067,4.268600,3.0,P
310.7,52.020066,4.268606,3.0,P
311.8,52.020065,4.268614,3.0,P
312.7,52.020059,4.268623,3.0,P
313.7,52.020053,4.268630,3.0,P
314.9,52.020049,4.268642,3.0,P
316.7,52.020043,4.268650,4.0,P
317.7,52.020039,4.268652,4.0,P
318.7,52.020031,4.268656,4.0,P
319.8,52.020030,4.268652,3.0,P
320.7,52.020034,4.268627,3.0,P
321.7,52.020039,4.268605,3.0,P
322.7,52.020047,4.268585,3.0,P
323.7,52.020058,4.268570,4.0,P
324.8,52.020060,4.268543,4.0,P
325.7,52.020065,4.268533,4.0,P
326.8,52.020072,4.268520,4.0,P
327.8,52.020078,4.268507,4.0,P
328.8,52.020084,4.268496,4.0,P
329.7,52.020085,4.268516,4.0,P
330.7,52.020081,4.268531,4.0,P
331.7,52.020076,4.268555,3.0,P
332.7,52.020070,4.268579,3.0,P
333.7,52.020063,4.268601,3.0,P
334.7,52.020061,4.268617,3.0,P
335.7,52.020055,4.268629,3.0,P
336.9,52.020047,4.268644,3.0,P
337.7,52.020046,4.268653,3.0,P
338.7,52.020040,4.268662,3.0,P
339.7,52.020018,4.268690,3.0,P
340.8,52.020007,4.268702,3.0,P
341.7,52.019999,4.268702,3.0,P
342.7,52.020001,4.268689,3.0,P
343.7,52.020003,4.268671,3.0,P
344.7,52.020003,4.268651,3.0,P
345.8,52.020026,4.268610,3.0,P
346.8,52.020042,4.268571,3.0,P
347.7,52.020052,4.268538,3.0,P
348.8,52.020054,4.268526,3.0,P
349.7,52.020064,4.268498,3.0,P
350.8,52.020067,4.268477,3.0,P
351.8,52.020078,4.268476,4.0,P
352.8,52.020084,4.268484,4.0,P
353.7,52.020084,4.268500,4.0,P
354.7,52.020077,4.268530,4.0,P
355.7,52.020063,4.268556,4.0,P
356.6,52.020064,4.268587,4.0,P
357.8,52.020060,4.268611,4.0,P
358.7,52.020054,4.268632,4.0,P
359.7,52.020051,4.268649,3.0,P
360.7,52.020044,4.268665,3.0,P
361.8,52.020038,4.268686,3.0,P
362.7,52.020035,4.268698,3.0,P
363.7,52.020039,4.268705,3.0,P
364.7,52.020037,4.268703,3.0,P
365.7,52.020034,4.268691,3.0,P
366.8,52.020026,4.268682,3.0,P
367.7,52.020022,4.268666,3.0,P
368.7,52.020036,4.268630,3.0,P
369.9,52.020042,4.268613,3.0,P
370.8,52.020039,4.268593,3.0,P
371.7,52.020042,4.268570,3.0,P
372.8,52.020046,4.268564,3.0,P
373.7,52.020047,4.268568,3.0,P
374.8,52.020047,4.268579,3.0,P
375.9,52.020049,4.268581,3.0,P
376.7,52.020050,4.268582,3.0,P
377.7,52.020050,4.268584,3.0,P
378.7,52.020054,4.268593,3.0,P
379.8,52.020064,4.268608,4.0,P
380.7,52.020073,4.268633,4.0,P
381.8,52.020074,4.268660,4.0,P
382.7,52.020077,4.268672,4.0,P
383.7,52.020077,4.268674,4.0,P
384.7,52.020076,4.268669,4.0,P
385.7,52.020070,4.268667,4.0,P
386.7,52.020074,4.268672,4.0,P
388.0,52.020076,4.268676,4.0,P
389.7,52.020092,4.268682,4.0,P
390.7,52.020099,4.268686,3.0,P
391.9,52.020098,4.268689,3.0,P
392.7,52.020096,4.268689,3.0,P
393.7,52.020092,4.268687,3.0,P
394.7,52.020088,4.268684,4.0,P
395.7,52.020088,4.268667,4.0,P
396.7,52.020082,4.268657,4.0,P
397.7,52.020080,4.268640,4.0,P
398.7,52.020080,4.268633,3.0,P
399.7,52.020078,4.268632,3.0,P
400.8,52.020078,4.268632,3.0,P
401.7,52.020077,4.268633,3.0,P
402.7,52.020079,4.268630,4.0,P
403.8,52.020081,4.268625,4.0,P
404.8,52.020081,4.268618,4.0,P
405.8,52.020082,4.268616,4.0,P
406.9,52.020080,4.268615,4.0,P
408.8,52.020057,4.268611,6.0,P
410.0,52.020053,4.268612,6.0,P
411.7,52.020035,4.268595,6.0,P
412.8,52.020026,4.268603,6.0,P
413.7,52.020023,4.268612,6.0,P
414.7,52.020015,4.268613,6.0,P
415.7,52.020005,4.268620,6.0,P
416.7,52.020000,4.268618,6.0,P
417.9,52.019996,4.268606,6.0,P
418.7,52.019992,4.268592,6.0,P
419.8,52.019991,4.268601,6.0,P
420.7,52.019985,4.268608,6.0,P
421.7,52.019984,4.268618,6.0,P
422.7,52.019980,4.268622,6.0,P
423.7,52.019984,4.268624,6.0,P
424.7,52.019987,4.268635,4.0,P
425.7,52.019987,4.268645,4.0,P
426.8,52.019995,4.268659,4.0,P
427.7,52.020006,4.268665,4.0,P
428.7,52.020021,4.268687,4.0,P
429.7,52.020034,4.268691,4.0,P
430.7,52.020045,4.268690,4.0,P
431.7,52.020057,4.268690,4.0,P
432.7,52.020074,4.268693,4.0,P
434.0,52.020087,4.268682,16.0,P
435.9,52.020101,4.268691,16.0,P
436.7,52.020105,4.268686,16.0,P
437.7,52.020107,4.268681,16.0,P
438.7,52.020111,4.268672,4.0,P
439.9,52.020114,4.268670,4.0,P
441.0,52.020118,4.268668,4.0,P
442.7,52.020116,4.268662,3.0,P
443.8,52.020116,4.268660,3.0,P
444.8,52.020117,4.268658,3.0,P
445.7,52.020118,4.268654,3.0,P
446.9,52.020118,4.268654,2.0,P
448.8,52.020119,4.268653,2.0,P
449.7,52.020119,4.268653,2.0,P
450.7,52.020120,4.268653,2.0,P
451.7,52.020120,4.268653,2.0,P
452.7,52.020120,4.268652,2.0,P
453.7,52.020121,4.268652,2.0,P
454.7,52.020121,4.268652,1.5,P
455.7,52.020121,4.268652,1.5,P
456.7,52.020121,4.268652,1.5,P
457.7,52.020121,4.268652,1.5,P
458.7,52.020121,4.268652,1.5,P
459.7,52.020122,4.268652,1.5,P
460.8,52.020122,4.268651,1.5,P
461.7,52.020122,4.268651,1.5,P
462.7,52.020122,4.268651,1.5,P
463.9,52.020122,4.268651,1.5,P
464.7,52.020122,4.268651,1.5,P
465.7,52.020122,4.268650,1.5,P
466.8,52.020122,4.268650,1.5,P
467.7,52.020123,4.268650,1.5,P
468.8,52.020123,4.268650,1.5,P
469.7,52.020123,4.268650,1.5,P
470.7,52.020123,4.268650,1.5,P
471.7,52.020124,4.268650,1.5,P
